#groundtruth,mba
1*(v2^(v0&(~v1|v2)))-1*(~v2|~(v0^v1)),-4*(v2^(v0&(~v1|v2)))*(v0&v1)+8*(v2^(v0&(~v1|v2)))*(v0&~v1)-6*(v2^(v0&(~v1|v2)))*(v0^v1)-4*(v2^(v0&(~v1|v2)))*~(v0&v1)+1*(v2^(v0&(~v1|v2)))*~(v0|v1)+7*(v2^(v0&(~v1|v2)))*~(v0|~v1)-2*(~v2|~(v0^v1))*(v0&v1)-1*(~v2|~(v0^v1))*~(v0|v1)-1*(~v2|~(v0^v1))*~(v0|~v1)+1*(v2^(v0&(~v1|v2)))*v0+2*(v2^(v0&(~v1|v2)))*~(v0&~v1)+1*(~v2|~(v0^v1))*v0+2*(~v2|~(v0^v1))*~(v0&~v1)
-1*(v1^(~v0&(~v1|v2))),-11*(v2^(v0|(v1&v2)))+2*(v0|~v1)+1*(~v2&(v0^v1))+2*(v1^~(~v0&(~v1|v2)))+4*(v2&(v0|v1))+7*((v1&~v2)^(v0|(v1^v2)))+4*(v2^(v0|~v1))+1*~(~v0&(v1^v2))-2*(v1&~(v0^v2))+11*(v0|v1)-6*((v0&~v1)|(v0^(v1^v2)))+1*(v2^(~v0|(~v1|v2)))-7*(~v0&(v1|v2))-5*(v1|~(v0^v2))+2*~(v0|(~v1&v2))-1*(v0&v1)-5*v2+7*(v2^~(v0|v1))+11*~(v0&(~v1|v2))+11*((v0&v1)^~(v0^(v1&v2)))-1*((v0&v1)|~(v0^(v1^v2)))-5*(v2^(v0&~v1))+7*~(v0^(~v1&v2))-7*(~(v0&v1)&(v1^v2))-11*(v2^(v0|(v1|v2)))-2*(~(v0&v1)&~(v0^(v1^v2)))-2*(v0|(~v1|v2))+5*(~(v0|v1)|(v1^v2))-6*(v2^~(v0&~v1))-6*((v0|~v1)&~(v0^(v1^v2)))+11*(v1^(v0&~v2))+2*(~v0&(~v1|v2))-1*(v2^(v0&(v1|v2)))-11*(v0^(~v1&v2))+3*(v2^~(~v0&(v1&v2)))-3*(v1^~(v0&v2))-32*~(v0|(v1|v2))-20*~(v0|(~v1|v2))+6*~(~v0|(v1|v2))+6*~(~v0|(~v1|v2))+19*(~v0&(~v1&v2))-37*(~v0&(v1&v2))-6*(v0&(~v1&v2))-3*(v0&(v1&v2))
-1*(v1^(~v0&(~v1|v2))),10*(v1^(~v0&(~v1|v2)))*(v0&v1)+7*(v1^(~v0&(~v1|v2)))*(v0&~v1)+10*(v1^(~v0&(~v1|v2)))*~(v0|v1)+4*(v1^(~v0&(~v1|v2)))*~(v0|~v1)-6*(v1^(~v0&(~v1|v2)))*(v0|~v1)-3*(v1^(~v0&(~v1|v2)))*~(v0&~v1)
-9*(~v0&(~v1&v2))+1*((v0&v1)|~(v1|v2)),-6*(v1^~(v0&(v1^v2)))+5*((v0|~v1)&(v1^v2))+11*(v0|v2)+2*(~v2|~(v0^v1))+4*((v0&v1)|~(v0^(v1^v2)))+1*(v1^(~v0|(~v1|v2)))-3*(v0&(v1|v2))+5*(v1^(v0&(~v1|v2)))-3*(v1|(v0&v2))+1*(v2^~(v0&~v1))-11*~(~v0&(~v1&v2))-6*(~v0&(v1^v2))-5*(v2|~(v0|v1))-11*((v0&v1)|~(v1^v2))+3*~(~v0&(v1^v2))+2*((v0|v1)&(v0^(v1^v2)))-1*(~(v0|v1)|(v0^(v1^v2)))-3*(v2|~(v0|~v1))+1*((v0|v1)&(v1^v2))+2*(v2^(~v0|(~v1&v2)))-1*~(~v0&(~v1|v2))+2*(v1^~(v0|(v1^v2)))-2*(~(v0&~v1)&(v0^(v1^v2)))+4*~(v0^v1)-6*((v0^v1)&~(v0^v2))-11*(v0^(v1^v2))+11*(~v0|(v1|v2))-1*(v1^v2)-7*(~v2&~(v0^v1))-1*((v0&v1)|(v0^(v1^v2)))-1*~(v0|~v2)+2*(v0|(~v1&v2))-5*(v1^(~v0|(v1|v2)))-1*(v1^~(v0&(~v1&v2)))+2*~(v0^(v1&v2))+1*((v1&v2)^~(v0&(v1^v2)))+2*((v1&~v2)^(~v0|(v1^v2)))-7*(v1^(~v0&(v1^v2)))+13*~(v0|(v1|v2))+17*~(v0|(~v1|v2))+17*~(~v0|(v1|v2))+5*(~v0&(v1&v2))-8*(v0&(~v1&v2))+15*(v0&(v1&v2))
-9*(~v0&(~v1&v2))+1*((v0&v1)|~(v1|v2)),-81*(~v0&(~v1&v2))*(v0&v1)-36*(~v0&(~v1&v2))*(v0&~v1)+90*(~v0&(~v1&v2))*(v0|~v1)+45*(~v0&(~v1&v2))*~(v0^v1)-126*(~v0&(~v1&v2))*~(v0|v1)+9*(~v0&(~v1&v2))*~(v0|~v1)+9*((v0&v1)|~(v1|v2))*(v0&v1)+4*((v0&v1)|~(v1|v2))*(v0&~v1)-10*((v0&v1)|~(v1|v2))*(v0|~v1)-5*((v0&v1)|~(v1|v2))*~(v0^v1)+14*((v0&v1)|~(v1|v2))*~(v0|v1)-1*((v0&v1)|~(v1|v2))*~(v0|~v1)-45*(~v0&(~v1&v2))*v0+5*((v0&v1)|~(v1|v2))*v0
-11*(~v0|(~v1|v2))-3*(v1|~(v0^v2)),1*(~(v0&~v1)&~(v0^(v1^v2)))-7*((v0&v2)^~(v0^(~v1&v2)))+2*((v0&v2)^(v0^(~v1&v2)))-6*~(v0^(~v1|v2))-1*(~(v0^v1)&(v0^v2))+2*(v1^~(~v0|(v1&v2)))-5*((v0|~v1)&~(v1^v2))-7*(v1&(v0|~v2))+5*(v2^(v0&~v1))+4*(v1^(v0|(v1|v2)))+1*~(v0&(~v1|v2))+1*(v1&(v0^v2))+3*(~v0|(v1|v2))-2*((v0&v1)^~(v0^(v1&v2)))-1*(v1|~v2)-3*~v0+1*((v1&~v2)^(~v0|(v1^v2)))+1*(~(v0&v1)&~(v1^v2))+7*~(v0&(v1|v2))+2*~(v0|(v1^v2))+7*(v1&(v0|v2))-1*~(~v0&(v1&v2))+1*(v1|~(v0|v2))-11*(v1^~(v0&(v1^v2)))+1*(v2^(~v0|(v1&v2)))+1*(v1^~(v0&(v1&v2)))+1*(~(v0|v1)|(v1^v2))-7*(v1^(~v0&(~v1|v2)))+2*(v2^(~v0|(v1|v2)))-3*(v1^(~v0|(v1|v2)))-1*(~(v0&~v1)&(v1^v2))-7*((v0&v2)|(v1&~v2))-2*((v0&v2)^~(v1&~v2))+4*(v1&~(v0&~v2))-1*(v2^~(v0|(v1&v2)))-1*(v2^(v0&(~v1|v2)))-6*(v1^~(~v0&(v1^v2)))+5*(v2^(~v0|(~v1&v2)))+8*~(v0|(v1|v2))+8*~(v0|(~v1|v2))+16*~(~v0|(~v1|v2))-4*(~v0&(~v1&v2))-35*(~v0&(v1&v2))-5*(v0&(~v1&v2))
-11*(~v0|(~v1|v2))-3*(v1|~(v0^v2)),-11*(~v0|(~v1|v2))*(v0&v1)+22*(~v0|(~v1|v2))*(v0&~v1)-11*(~v0|(~v1|v2))*~(v0|~v1)-11*(~v0|(~v1|v2))*~v1-3*(v1|~(v0^v2))*(v0&v1)+6*(v1|~(v0^v2))*(v0&~v1)-3*(v1|~(v0^v2))*~(v0|~v1)-3*(v1|~(v0^v2))*~v1+22*(~v0|(~v1|v2))*~(v0&~v1)+6*(v1|~(v0^v2))*~(v0&~v1)
-2*(v1^v2),11*(v2^~(v0&(~v1|v2)))-6*(~v1&(v0^v2))-7*(~(v0&~v1)&(v0^(v1^v2)))+4*(v1^(~v0|(v1|v2)))+1*~(v0|~v2)-1*(v1^~(v0|(v1&v2)))-1*(v2^~(~v0&(v1&v2)))-7*(v1&~(v0&v2))+4*(v2^~(v0&v1))-5*(v1^(v0&v2))-3*((v0|v1)&~(v0^(v1^v2)))+11*((v1&~v2)|~(~v0|(~v1&v2)))-1*((v0|~v1)&~(v0^(v1^v2)))+5*~(v0&(v1&v2))+3*~(v0^(~v1|v2))-5*((v0&v1)|~(v1^v2))-1*(v1^(~v0|(~v1&v2)))-1*((v1&v2)^~(~v0&(v1^v2)))-5*(~(v0|v1)|~(v1^v2))+1*(v0^(~v1&v2))-2*(~(v0&v1)&~(v1^v2))+7*(~v0|(v1^v2))-11*(v0|v2)-11*(v1^(v0|(~v1&v2)))-7*(v2^~(v0|(v1&v2)))-2*~(~v0&(v1&v2))+2*(~v2|(v0^v1))+1*~(v0|(v1&v2))+1*(v2|(v0^v1))-11*(~(v0^v1)|(v0^v2))-7*((v0&v2)^(v0^(~v1&v2)))-3*((v0&v1)^(v0^(v1&v2)))-2*(~v0&(~v1|v2))-11*((v0&v1)|~(v1|~v2))-1*(~(v0|~v1)|~(v0^(v1^v2)))+11*(v0|~v2)-5*(v1^~(v0&(v1&v2)))-7*(v1|~(v0|~v2))-10*~(v0|(~v1|v2))+32*~(~v0|(v1|v2))+25*~(~v0|(~v1|v2))+65*(~v0&(~v1&v2))+66*(~v0&(v1&v2))+23*(v0&(~v1&v2))+34*(v0&(v1&v2))
-2*(v1^v2),-4*(v1^v2)*(v0&v1)+8*(v1^v2)*(v0&~v1)-8*(v1^v2)*(v0|~v1)+8*(v1^v2)*~(v0^v1)-4*(v1^v2)*~(v0&v1)+6*(v1^v2)*~(v0&~v0)
-1*(v2^~(v0|(v1&v2)))-5*(v0&(~v1|v2)),7*((v0|v1)&~(v1^v2))-1*(~(v0|~v1)|(v0^(v1^v2)))+7*(~(v0|v1)|~(v1^v2))-1*~(v0^(v1^v2))+3*(~(v0|~v1)|~(v1^v2))-7*(v2&(v0|v1))+11*(v2^~(~v0|(~v1&v2)))-2*~(v0^(~v1&v2))+2*(v1^~(v0&(v1|v2)))-2*~v1-2*(v1^~(v0|(v1^v2)))-5*(v1^(v0|(~v1|v2)))-1*~(~v0|(~v1&v2))+5*(v1^~(v0|(v1&v2)))-7*(v0|(~v1|v2))-5*(~v1&(v0^v2))+1*(v1^~(v0|~v2))-1*(v2^~(v0&(v1|v2)))+1*~(v0^(v1&v2))-1*(v2|~(v0^v1))-11*(v2^~(v0&(~v1&v2)))-2*(v1^(v0&(v1|v2)))-1*~(v0|(~v1&v2))+3*(v0|(v1^v2))+1*((v0&v1)^(v0^(~v1|v2)))-11*(v2&~(v0&~v1))-11*(v1^(~v0|(~v1|v2)))-1*(~v1|~(v0^v2))-7*~(v0&~v0)-3*~(v1&v2)-3*(v2^~(v0&(~v1|v2)))+1*(v1^(v0&v2))+1*(v2|~(v0|v1))+1*(v1^(v0|(v1^v2)))+7*~(v0|(v1^v2))-1*~(v0&(v1^v2))+1*(v2^(v0&(v1|v2)))+31*~(v0|(v1|v2))+30*~(v0|(~v1|v2))+17*~(~v0|(v1|v2))+23*~(~v0|(~v1|v2))+21*(~v0&(~v1&v2))-5*(~v0&(v1&v2))+41*(v0&(~v1&v2))+6*(v0&(v1&v2))
-1*(v2^~(v0|(v1&v2)))-5*(v0&(~v1|v2)),-13*(v2^~(v0|(v1&v2)))*(v0&v1)-6*(v2^~(v0|(v1&v2)))*(v0&~v1)+12*(v2^~(v0|(v1&v2)))*(v0|v1)-7*(v2^~(v0|(v1&v2)))*~(v0|v1)-12*(v2^~(v0|(v1&v2)))*~(v0|~v1)+6*(v2^~(v0|(v1&v2)))*~v0+15*(v0&(~v1|v2))*(v0&v1)-20*(v0&(~v1|v2))*(v0&~v1)-15*(v0&(~v1|v2))*~(v0|v1)-50*(v0&(~v1|v2))*~(v0|~v1)+30*(v0&(~v1|v2))*~v0-7*(v2^~(v0|(v1&v2)))*(v0^v1)+2*(v2^~(v0|(v1&v2)))*~(v0&~v0)+35*(v0&(~v1|v2))*(v0^v1)-10*(v0&(~v1|v2))*~(v0&~v0)
-4*(v2|(v0&v1)),-1*~(~v0|(v1&v2))+7*((v0&v1)^(v0^(v1&v2)))-3*(v1&v2)+1*(~v1&~(v0^v2))-1*(v1^~(v0&(~v1|v2)))-6*((v0&v1)|(v1^v2))+4*((v0&v2)^~(v1&~v2))-3*(v1&(v0|~v2))-3*(v1|~(v0|~v2))-1*(v0^(~v1|v2))+4*(v1^~(v0&(v1|v2)))+11*(~v1|(v0^v2))-2*(~v0&(v1^v2))-7*~(v1|~v2)+7*(v1&~(v0^v2))+11*(~v1&(v0^v2))-2*(~v2&(v0^v1))-1*(v0|(~v1|v2))+1*(v1^v2)-2*(v1^(~v0|(v1^v2)))+1*(v1^(v0|~v2))-7*~(~v0&(~v1&v2))+2*(v1^~(~v0|(~v1&v2)))-1*(v2^~(v0&(~v1|v2)))-7*((v0&v2)^~(v0^(v1&v2)))+1*((v0&v1)^~(v0^(~v1|v2)))+1*((v0&v1)^(v1|v2))+1*(v2^~(v0&~v1))+1*((v0&v1)|(v0^(v1^v2)))+1*((v0^v1)&~(v0^v2))+4*(v2^~(~v0&(~v1&v2)))-5*((v0&~v1)|(v0^(v1^v2)))+4*(~(v0&v1)&~(v1^v2))+1*(v2&~(v0&~v1))+4*((v0&v2)|(v1&~v2))-5*(v1^~(v0&(v1&v2)))+1*(v1^~(v0|v2))-6*~(v0|(v1|v2))+13*~(v0|(~v1|v2))-29*~(~v0|(v1|v2))-9*~(~v0|(~v1|v2))-2*(~v0&(~v1&v2))-21*(~v0&(v1&v2))+9*(v0&(~v1&v2))+8*(v0&(v1&v2))
-4*(v2|(v0&v1)),-32*(v2|(v0&v1))*(v0&v1)-76*(v2|(v0&v1))*(v0&~v1)+56*(v2|(v0&v1))*(v0^v1)+24*(v2|(v0&v1))*v0-8*(v2|(v0&v1))*~(v0|v1)-52*(v2|(v0&v1))*~(v0|~v1)+12*(v2|(v0&v1))*~(v0^v1)
2*(~(v0|~v1)|~(v1^v2)),-1*(v1^(v0&(v1|v2)))+2*((v0&v2)^~(v1&~v2))+1*(v1^(~v0|(v1^v2)))-3*(v1^~(~v0&(v1&v2)))+1*~(v0|v2)-5*(v2^~(v0|~v1))-1*((v0&~v1)|~(v1^v2))-7*((v1&~v2)^(~v0|(v1^v2)))-2*(v1&(v0^v2))+4*(v0|(v1|v2))+3*(v2^(~v0|(~v1&v2)))-1*(v1|~(v0|v2))+1*(v0|(v1^v2))-5*(v2&(v0|~v1))-1*~(v0&~v0)+11*((v0&v1)|~(v1|~v2))-1*~(v1|~v2)+2*(v1^(~v0&(v1^v2)))-2*((v0&v1)|(v0^(v1^v2)))-6*(v1|v2)+1*((v0|~v1)&~(v1^v2))-1*(v1^~(~v0|(~v1&v2)))+2*(v2|(v0&v1))-7*~v0+1*~(v0^(~v1|v2))+5*((v1&~v2)^(v0|(v1^v2)))-1*(v2&~(v0&~v1))+3*(v1^(~v0&(~v1|v2)))-5*((v0|v1)&(v0^(v1^v2)))-11*((v0|v1)&~(v0^(v1^v2)))+3*(v1^(~v0|(~v1|v2)))-3*~v2+1*(~(v0&~v1)&(v1^v2))+5*(v1&~(v0&~v2))+1*(v1&(v0|v2))-7*(v1^~(~v0&(v1|v2)))-3*~(v1&~v2)+21*~(v0|(v1|v2))+22*~(v0|(~v1|v2))+11*~(~v0|(v1|v2))-2*~(~v0|(~v1|v2))+6*(~v0&(~v1&v2))+38*(~v0&(v1&v2))+23*(v0&(~v1&v2))-8*(v0&(v1&v2))
2*(~(v0|~v1)|~(v1^v2)),4*(~(v0|~v1)|~(v1^v2))*(v0&v1)-68*(~(v0|~v1)|~(v1^v2))*(v0&~v1)+44*(~(v0|~v1)|~(v1^v2))*~(v0&~v0)-44*(~(v0|~v1)|~(v1^v2))*~(v0&~v1)-2*(~(v0|~v1)|~(v1^v2))*~(v0|v1)-18*(~(v0|~v1)|~(v1^v2))*~(v0|~v1)+22*(~(v0|~v1)|~(v1^v2))*(v0^v1)-6*(~(v0|~v1)|~(v1^v2))*v1
1*(v0|(~v1|v2))+1*(v1^~(v0&~v2)),11*(v1^(v0&~v2))+1*~v2-5*(v0|(v1&v2))-11*~(~v0&(v1^v2))+4*((v0&~v1)|~(v1^v2))-6*~(v0^(~v1|v2))+2*v2+1*(~(v0&~v1)&~(v1^v2))+1*~(v0^(v1|v2))+2*((v0^v1)&~(v0^v2))+1*((v0&v1)|~(v0^(v1^v2)))+11*~v0+7*~(v0^(v1^v2))+11*(~v0&(~v1|v2))+1*(v1^~(v0&(v1|v2)))+1*(v2|(v0&v1))-6*~(~v0|(v1&v2))-5*(v1^(~v0&(v1^v2)))+4*(~(v0|v1)|(v0^(v1^v2)))-1*(v0^(~v1&v2))+2*(v2|(v0&~v1))-1*(~(v0&~v1)&(v0^(v1^v2)))+4*((v0&v2)^(v0^(~v1&v2)))+1*((v1&v2)|(v0&(v1|v2)))-11*((v1&v2)^~(v0&(v1^v2)))+2*~(v0|v2)+3*~(~v0&(v1&v2))+2*(v2^(~v0|(~v1&v2)))-1*((v0&v1)^~(v0^(v1&v2)))-3*(v2^~(v0&v1))-2*((v0&v1)|~(v1^v2))+7*(v2^~(v0|~v1))+11*(v2^(v0|(v1|v2)))-1*(~v0|(v1|v2))-3*~(v0|v1)-7*(v1|v2)-6*((v0|v1)&(v1^v2))+2*~(v1^v2)-17*~(v0|(v1|v2))-18*~(v0|(~v1|v2))+3*~(~v0|(v1|v2))+16*~(~v0|(~v1|v2))-14*(~v0&(~v1&v2))-22*(~v0&(v1&v2))+9*(v0&(~v1&v2))
1*(v0|(~v1|v2))+1*(v1^~(v0&~v2)),-8*(v0|(~v1|v2))*(v0&v1)+8*(v0|(~v1|v2))*(v0&~v1)-2*(v0|(~v1|v2))*~(v0&v1)+15*(v0|(~v1|v2))*~(v0|v1)-7*(v0|(~v1|v2))*~v1-8*(v1^~(v0&~v2))*(v0&v1)+8*(v1^~(v0&~v2))*(v0&~v1)-2*(v1^~(v0&~v2))*~(v0&v1)+15*(v1^~(v0&~v2))*~(v0|v1)-7*(v1^~(v0&~v2))*~v1+7*(v0|(~v1|v2))*v1+1*(v0|(~v1|v2))*~(v0|~v1)-7*(v0|(~v1|v2))*~v0+7*(v1^~(v0&~v2))*v1+1*(v1^~(v0&~v2))*~(v0|~v1)-7*(v1^~(v0&~v2))*~v0
2*(v1|(v0^v2)),-7*(v2^(~v0|(v1|v2)))-7*(v2^(v0|v1))-2*(~v1&~(v0^v2))+1*((v0&~v1)|~(v1^v2))+2*(v1&(v0^v2))+4*~(v0^(v1|v2))+5*(v1^~(~v0&(~v1|v2)))+1*((v1&~v2)^(~v0|(v1^v2)))+11*(v1^~(v0&~v2))+5*(~v0&(~v1|v2))-5*(v0|(v1|v2))+1*((v0&v2)^(v0^(~v1&v2)))+1*(v1^~(v0&(v1^v2)))-1*(v2|(v0^v1))-3*~(v0&(~v1|v2))+2*((v1&v2)^~(~v0&(v1^v2)))+4*(v1^~(v0|v2))-5*((v1&~v2)|~(~v0|(~v1&v2)))-1*(v2^~(~v0&(v1&v2)))+1*(v2^~(~v0|(~v1&v2)))+3*((v0|~v1)&(v0^(v1^v2)))+1*~(v0&(v1|v2))-2*((v0|~v1)&(v1^v2))+3*(v1^(~v0|(v1&v2)))-1*(~v0&(v1^v2))+11*(v1^(v0|(~v1&v2)))+2*((v0&v1)^~(v0^(~v1|v2)))+5*(~v0|(v1&v2))-2*(v0^(~v1|v2))+1*(v1^(v0|v2))+1*(v2^(~v0&(~v1|v2)))-2*((v0^v1)&(v0^v2))-11*(v0&~v2)-6*(~(v0^v1)|~(v0^v2))+7*(v2^~(v0&(~v1|v2)))-2*(v1^~(v0|(~v1&v2)))-11*((v0&v2)^(v0^(v1&v2)))-23*~(v0|(v1|v2))+11*~(v0|(~v1|v2))+16*~(~v0|(v1|v2))+26*~(~v0|(~v1|v2))-15*(~v0&(~v1&v2))-9*(~v0&(v1&v2))-32*(v0&(~v1&v2))+7*(v0&(v1&v2))
2*(v1|(v0^v2)),-4*(v1|(v0^v2))*(v0&v1)-4*(v1|(v0^v2))*(v0^v1)-22*(v1|(v0^v2))*~(v0|v1)-20*(v1|(v0^v2))*~(v0|~v1)+20*(v1|(v0^v2))*~v0+2*(v1|(v0^v2))*(v0&~v1)+2*(v1|(v0^v2))*v1
23*(~v0&(v1&v2))-2*(v1^~(~v0&(v1|v2))),3*(v0&v1)+1*~(v1&~v2)-1*~v1-3*(~v0&(v1^v2))+1*((v1&~v2)|~(~v0|(~v1&v2)))-2*~(v0&(~v1|v2))-2*(v2&(v0|~v1))-7*(v1^~(~v0|(v1^v2)))-1*((v0&~v1)|(v0^(v1^v2)))+3*(v2^(v0&v1))-6*(~(v0&~v1)&(v1^v2))+2*(v1&(v0|~v2))+1*(v1^~(v0&(~v1&v2)))+11*(v1^~(v0|(v1^v2)))-2*(~(v0^v1)&(v0^v2))-2*(~v1|(v0^v2))+4*(~v0|(v1^v2))-6*(~v2|~(v0^v1))-3*(v2^~(~v0&(~v1|v2)))-1*((v0&v1)|~(v1^v2))-2*(v1&~v2)-5*(v2^(v0|(v1&v2)))-7*((v0^v1)&~(v0^v2))-1*(~v1|~(v0^v2))+7*((v1&v2)|(~v0&(v1|v2)))+4*((v1&~v2)^(v0|(v1^v2)))-7*(v1|(v0&v2))+11*((v0^v1)&(v0^v2))+7*(v1^(~v0|(~v1&v2)))-7*(v1^(v0|v2))+5*((v1&v2)^~(v0&(v1^v2)))+4*~(v0|(v1^v2))+11*~(v0&~v2)-3*((v0&~v1)|(v1^v2))+1*~(v0&(v1&v2))-6*(~v0&(~v1|v2))+7*(v1^~(v0|(~v1&v2)))+1*~(~v0&(~v1&v2))+5*(~(v0^v1)|(v0^v2))+1*~(v0&~v0)-42*~(v0|(v1|v2))+9*~(v0|(~v1|v2))+4*~(~v0|(v1|v2))-4*(v0&(~v1&v2))-43*(v0&(v1&v2))
23*(~v0&(v1&v2))-2*(v1^~(~v0&(v1|v2))),-115*(~v0&(v1&v2))*(v0&v1)-299*(~v0&(v1&v2))*(v0&~v1)+92*(~v0&(v1&v2))*v0-23*(~v0&(v1&v2))*~v0+2*(v1^~(~v0&(v1|v2)))*(v0&v1)-14*(v1^~(~v0&(v1|v2)))*(v0&~v1)+2*(v1^~(~v0&(v1|v2)))*~v0+161*(~v0&(v1&v2))*(v0^v1)+23*(~v0&(v1&v2))*~(v0&v1)-23*(~v0&(v1&v2))*~(v0|v1)-184*(~v0&(v1&v2))*~(v0|~v1)+14*(v1^~(~v0&(v1|v2)))*(v0^v1)+2*(v1^~(~v0&(v1|v2)))*~(v0&v1)-2*(v1^~(~v0&(v1|v2)))*~(v0|v1)-16*(v1^~(~v0&(v1|v2)))*~(v0|~v1)
5*(v2^(~v0&(v1|v2)))-2*(~(v0&~v1)&(v1^v2)),11*(v2^(v0|~v1))+1*((v1&v2)|(~v0&(v1|v2)))+2*(v1^~(~v0&(v1|v2)))+1*(v0|v1)+1*(~v1|(v0^v2))+4*(v2^~(v0|~v1))-11*(~(v0|~v1)|(v0^(v1^v2)))-6*((v1&v2)^~(~v0&(v1^v2)))-11*(v0&v2)-2*(v1^(v0|(~v1&v2)))+3*((v0^v1)|~(v0^v2))-6*(v2^(v0|v1))-2*(v1&v2)-1*(v1^~(~v0&(~v1&v2)))-1*((v0&v1)|(v1^v2))+1*(~(v0^v1)&(v0^v2))-1*~(~v0|(v1^v2))+11*(v1^(v0|(v1|v2)))+5*(v2&(v0^v1))+5*(v1^~(v0|(~v1&v2)))-1*(v2^~(v0|(~v1&v2)))-7*((v0|~v1)&(v0^(v1^v2)))+7*(v2^~(~v0|(~v1&v2)))-7*(v1^(~v0|(v1^v2)))-1*(v2&~(v0&v1))+1*(v2^~(v0|(v1&v2)))-1*(v1^~(~v0|(v1^v2)))-1*(v2^(v0&(~v1|v2)))-3*(v1^(v0|(v1^v2)))-2*(v2^(v0&~v1))-6*(~(v0|~v1)|~(v1^v2))+11*(~v2&~(v0^v1))+5*(v2^(~v0&(~v1|v2)))+2*(v1|~v2)-1*((v0&v1)^(v0^(~v1|v2)))+3*(v2^~(~v0&(v1|v2)))+7*(v1^(v0&~v2))+3*~(~v0&(~v1&v2))-25*~(v0|(v1|v2))+7*~(v0|(~v1|v2))-4*~(~v0|(v1|v2))-33*~(~v0|(~v1|v2))+13*(~v0&(~v1&v2))-17*(~v0&(v1&v2))-5*(v0&(~v1&v2))+23*(v0&(v1&v2))
5*(v2^(~v0&(v1|v2)))-2*(~(v0&~v1)&(v1^v2)),-5*(v2^(~v0&(v1|v2)))*(v0&v1)-15*(v2^(~v0&(v1|v2)))*(v0&~v1)-15*(v2^(~v0&(v1|v2)))*~v0+2*(~(v0&~v1)&(v1^v2))*(v0&v1)+6*(~(v0&~v1)&(v1^v2))*(v0&~v1)-8*(~(v0&~v1)&(v1^v2))*(v0^v1)-4*(~(v0&~v1)&(v1^v2))*~(v0|v1)+4*(~(v0&~v1)&(v1^v2))*~(v0|~v1)+2*(~(v0&~v1)&(v1^v2))*~v0+10*(v2^(~v0&(v1|v2)))*~(v0&v1)+4*(~(v0&~v1)&(v1^v2))*~(v0&v1)
1*(v1^(v0|(v1^v2)))-4*(v1&v2),11*(v1&(v0|v2))-1*(v2^(~v0|(v1&v2)))+11*(v0|(v1|v2))+3*((v0&~v1)|(v1^v2))+1*(v1^~(v0|v2))+1*~(v0^(v1&v2))+5*((v0|v1)&(v1^v2))-6*(~(v0|v1)|~(v1^v2))+1*((v0|~v1)&(v1^v2))-5*(v1^~(~v0&(v1|v2)))-1*((v0&v1)^~(v0^(v1&v2)))+5*(v2|~(v0|v1))+2*(v2^(v0&v1))+5*((v0&v1)^(v1|v2))-1*(v1^~(v0&~v2))-2*(~(v0|~v1)|~(v1^v2))+1*(~(v0^v1)&~(v0^v2))+5*(v2^(~v0|(v1|v2)))-1*(~v2|~(v0^v1))+3*(~v0|(v1|v2))+4*((v0|v1)&~(v0^(v1^v2)))+4*~(v0^(~v1&v2))+3*(v2^~(~v0|(v1&v2)))-7*(v0^(~v1&v2))+1*(v2|~(v0^v1))-1*(v2&(v0|~v1))+3*(v1^(v0|(v1|v2)))-11*(~(v0&v1)&~(v0^(v1^v2)))-1*(v1^~(v0&v2))+7*(~v1|(v0^v2))-6*((v0|~v1)&~(v0^(v1^v2)))+4*(v1^(v0|(~v1&v2)))+7*(~(v0&v1)&~(v1^v2))-1*(v1^(v0|v2))+2*(~(v0&v1)&(v0^(v1^v2)))-5*(v0&(v1^v2))+4*(v1^~(v0&(v1^v2)))-6*(v1^~(~v0&(v1^v2)))+2*~(v0|(v1|v2))-26*~(v0|(~v1|v2))-14*~(~v0|(v1|v2))-40*~(~v0|(~v1|v2))-35*(~v0&(~v1&v2))-47*(~v0&(v1&v2))-20*(v0&(~v1&v2))-23*(v0&(v1&v2))
1*(v1^(v0|(v1^v2)))-4*(v1&v2),-5*(v1^(v0|(v1^v2)))*(v0&v1)-4*(v1^(v0|(v1^v2)))*(v0&~v1)+2*(v1^(v0|(v1^v2)))*v1-1*(v1^(v0|(v1^v2)))*~(v0^v1)-3*(v1^(v0|(v1^v2)))*~(v0|~v1)+20*(v1&v2)*(v0&v1)+16*(v1&v2)*(v0&~v1)-8*(v1&v2)*v1+4*(v1&v2)*~(v0^v1)+12*(v1&v2)*~(v0|~v1)+1*(v1^(v0|(v1^v2)))*(v0|~v1)+2*(v1^(v0|(v1^v2)))*v0-1*(v1^(v0|(v1^v2)))*~(v0|v1)-4*(v1&v2)*(v0|~v1)-8*(v1&v2)*v0+4*(v1&v2)*~(v0|v1)
